position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,605058.125976908,okx,ethereum,ETH/USDT,usd,2023-10-10 09:00:00,381.4522613456504,1584.61,0.001,605.0581259769081,604453.0678509311,2023-10-14 01:00:00,1546.02,True,589.7328250856025,589143.0922605168,-15309.975590414251
short,604453.0678509311,okx,ethereum,ETHUSDT,usd,2023-10-10 09:00:00,381.1989887605959,1584.87,0.0005,302.22653392546556,604150.8413170056,2023-10-14 01:00:00,1545.87,True,294.6420403776712,588989.4387149647,15161.402602040907
long,3725089.053791787,binance,bitcoin,BTC/USDT,usd,2023-10-11 09:00:00,137.71633670915662,27021.95,0.001,3725.089053791787,3721363.964737995,2023-10-18 01:00:00,28395.91,True,3910.5807027229075,3906670.1220201845,185306.15728218947
short,3721363.964737995,binance,bitcoin,BTCUSDT,usd,2023-10-11 09:00:00,137.69461337650904,27012.7,0.0005,1860.6819823689975,3719503.282755626,2023-10-18 01:00:00,28382.0,True,1954.0242584260398,3906094.4925936535,-186591.2098380276
long,155653.51633080415,bybit,ethereum,ETH/USDT,coin,2023-10-12 09:00:00,99.56323653122892,1561.8,0.001,155.65351633080417,155497.86281447334,2023-10-16 09:00:00,1563.03,True,155.62032559540674,155464.70526981133,-33.15754466201179
short,155497.86281447334,bybit,ethereum,ETHUSDCM,coin,2023-10-12 09:00:00,99.58499230419415,1560.6,0.00055,85.52382454796034,155412.33898992537,2023-10-16 09:00:00,1562.35,True,85.57263699955175,155501.04008945817,-88.70109953280189
long,311309.3499545867,bybit,bitcoin,BTC/USDT,coin,2023-10-12 17:00:00,11.588466035319785,26836.86,0.001,311.3093499545867,310998.0406046321,2023-10-19 09:00:00,28258.86,True,327.47683930685685,327149.36246755,16151.32186291786
short,310998.0406046321,bybit,bitcoin,BTCUSDCM,coin,2023-10-12 17:00:00,11.586781170591948,26826.0,0.00055,171.04892233254768,310826.9916822996,2023-10-19 09:00:00,28251.0,True,180.03598516771623,327158.1188652254,-16331.127182925818
long,467006.87674874935,bybit,ethereum,ETH/USDT,usd,2023-10-13 17:00:00,301.6746652906567,1546.5,0.001,467.00687674874933,466539.8698720006,2023-10-18 01:00:00,1564.1,True,471.84934398111614,471377.494637135,4837.6247651344165
short,466539.8698720006,bybit,ethereum,ETHUSDT,usd,2023-10-13 17:00:00,301.6569882021368,1545.74,0.00055,256.5969284296003,466283.272943571,2023-10-18 01:00:00,1563.29,True,259.3675441975851,471317.9855423208,-5034.712598749844
long,934080.5291610386,bybit,bitcoin,BTC/USDT,usd,2023-10-14 09:00:00,34.64925818898882,26931.21,0.001,934.0805291610386,933146.4486318775,2024-04-18 17:00:00,62591.57,True,2168.7514693841667,2166582.717914783,1233436.2692829054
short,933146.4486318775,bybit,bitcoin,BTCUSDT,usd,2023-10-14 09:00:00,34.648096877663434,26917.3,0.00055,513.2305467475327,932633.21808513,2024-04-18 17:00:00,62551.8,True,1192.0154544497254,2166108.810817778,-1233475.5927326481
long,302526.2750351752,okx,bitcoin,BTC/USDT,coin,2023-10-17 09:00:00,10.688235333482105,28276.3,0.001,302.5262750351752,302223.74876014004,2023-10-19 09:00:00,28258.3,True,302.0313605241373,301729.3291636132,-494.41959652683
