position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,149534.3789150799,okx,ethereum,ETH/USDT,coin,2023-03-18 08:00:00,82.4988786614192,1810.75,0.001,149.5343789150799,149384.8445361648,2023-03-18 16:00:00,1813.27,True,149.5927417103916,149443.1489686812,58.30443251639372
short,149384.8445361648,okx,ethereum,ETHUSDCM,coin,2023-03-18 08:00:00,82.2246801076595,1815.88,0.0005,74.69242226808241,149310.15211389674,2023-03-18 16:00:00,1817.06,True,74.70358861821188,149332.47364780557,-22.32153390883468
long,149546.60473231497,okx,ethereum,ETH/USDT,coin,2023-03-19 00:00:00,83.45971236981238,1790.05,0.001,149.54660473231496,149397.05812758266,2023-03-19 08:00:00,1782.37,True,148.7560875365825,148607.33144904592,-789.7266785367392
short,149397.05812758266,okx,ethereum,ETHUSDCM,coin,2023-03-19 00:00:00,83.16477838959558,1795.5,0.0005,74.69852906379133,149322.35959851887,2023-03-19 08:00:00,1787.0,True,74.30772949110366,148541.15125271623,781.2083458026464
long,149551.96798347996,okx,ethereum,ETH/USDT,coin,2023-03-20 00:00:00,82.03289829265421,1821.25,0.001,149.55196798347995,149402.41601549648,2023-03-21 00:00:00,1752.92,True,143.79710807515943,143653.31096708428,-5749.105048412195
short,149402.41601549648,okx,ethereum,ETHUSDCM,coin,2023-03-20 00:00:00,81.74546722986781,1826.74,0.0005,74.70120800774824,149327.71480748872,2023-03-21 00:00:00,1757.1,True,71.81748023480036,143563.1429893659,5764.571818122815
long,299089.0099240625,okx,bitcoin,BTC/USDT,coin,2023-03-21 08:00:00,10.754608869401187,27782.5,0.001,299.0890099240625,298789.9209141385,2023-03-22 00:00:00,28120.6,True,302.42605417288297,302123.6281187101,3333.707204571634
short,298789.9209141385,okx,bitcoin,BTCUSDCM,coin,2023-03-21 08:00:00,10.730769195936855,27830.3,0.0005,149.39496045706926,298640.52595368144,2023-03-22 00:00:00,28177.3,True,151.18205143233578,302212.92081323924,-3572.3948595577967
long,299045.98225493374,okx,bitcoin,BTC/USDT,coin,2023-03-22 08:00:00,10.61079510824645,28155.0,0.001,299.04598225493373,298746.9362726788,2023-03-22 16:00:00,28123.3,True,298.4105740677474,298112.16349367966,-634.7727789991186
short,298746.9362726788,okx,bitcoin,BTCUSDCM,coin,2023-03-22 08:00:00,10.581699209539286,28218.3,0.0005,149.3734681363394,298597.5628045424,2023-03-22 16:00:00,28178.4,True,149.0876765030409,298026.2653295788,571.2974749636487
