https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1713571200000,2024-04-20,BTCUSD_PERP,63822.1,65408.3,63092.0,64926.3,20139086,31372.70580201,567965
1713484800000,2024-04-19,BTCUSD_PERP,63474.0,65451.0,59577.0,63822.1,58378950,92298.88996661,1228573
1713398400000,2024-04-18,BTCUSD_PERP,61244.4,64154.7,60783.5,63472.4,35588114,56890.49771375,842166
1713312000000,2024-04-17,BTCUSD_PERP,63808.1,64494.2,59618.9,61244.3,47406097,76821.07843491,1083165
1713225600000,2024-04-16,BTCUSD_PERP,63414.9,64355.8,61589.1,63808.1,41938556,66838.45646589,1149864
1713139200000,2024-04-15,BTCUSD_PERP,65664.1,66888.0,62295.4,63413.9,49493264,76479.3370267,1180716
1713052800000,2024-04-14,BTCUSD_PERP,63963.9,65850.0,62130.1,65664.2,49424131,77156.26444806,1132365
1712966400000,2024-04-13,BTCUSD_PERP,67120.0,67947.0,59888.0,63964.0,78525044,121827.11016103,1441729
1712880000000,2024-04-12,BTCUSD_PERP,70012.5,71278.0,65000.0,67120.5,59781677,87543.23209219,1075304
1712793600000,2024-04-11,BTCUSD_PERP,70616.0,71312.4,69547.7,70012.5,34808035,49473.98451388,756835
1712707200000,2024-04-10,BTCUSD_PERP,69132.0,71179.9,67470.1,70615.9,43946005,63708.64618763,902977
1712620800000,2024-04-09,BTCUSD_PERP,71636.0,71771.8,68200.0,69132.0,42381850,60652.33843697,939215
1712534400000,2024-04-08,BTCUSD_PERP,69345.9,72856.7,69037.0,71636.0,36158254,50568.77572485,855921
1712448000000,2024-04-07,BTCUSD_PERP,68930.0,70367.8,68824.7,69345.9,22134730,31853.53357036,644252
1712361600000,2024-04-06,BTCUSD_PERP,67826.1,69704.9,67507.6,68930.0,16887418,24734.37042065,558583
1712275200000,2024-04-05,BTCUSD_PERP,68478.7,68750.0,65981.0,67826.0,39283531,58338.75020918,992152
1712188800000,2024-04-04,BTCUSD_PERP,65930.6,69394.3,65080.3,68478.6,39332045,58360.93588448,959584
1712102400000,2024-04-03,BTCUSD_PERP,65490.3,66968.7,64500.6,65930.6,30269471,45879.53052207,801891
1712016000000,2024-04-02,BTCUSD_PERP,69716.0,69735.5,64575.4,65490.0,64442740,97345.6004297,1292600
1711929600000,2024-04-01,BTCUSD_PERP,71384.9,71396.5,68081.0,69716.0,38898623,55983.15131849,811972
1711843200000,2024-03-31,BTCUSD_PERP,69659.9,71478.1,69644.0,71384.9,15195686,21508.66007027,433143
1711756800000,2024-03-30,BTCUSD_PERP,69941.8,70447.6,69626.6,69659.9,10603053,15132.40155573,359142
1711670400000,2024-03-29,BTCUSD_PERP,70827.6,70957.2,69075.1,69941.8,21897609,31268.20529741,665749
1711584000000,2024-03-28,BTCUSD_PERP,69493.3,71634.6,68926.0,70827.6,31255765,44256.41349308,784616
1711497600000,2024-03-27,BTCUSD_PERP,70055.3,71875.0,68400.0,69493.2,48610374,69620.71614102,1019262
1711411200000,2024-03-26,BTCUSD_PERP,69958.3,71666.5,69346.7,70052.9,38922371,55297.23199359,970752
1711324800000,2024-03-25,BTCUSD_PERP,67272.0,71291.4,66434.2,69958.3,48379373,70204.5771823,1133068
1711238400000,2024-03-24,BTCUSD_PERP,64028.1,67733.6,63814.9,67272.0,28522574,43510.15041986,754158
1711152000000,2024-03-23,BTCUSD_PERP,63849.1,66077.3,63051.2,64028.1,23852160,36875.83452428,586509
1711065600000,2024-03-22,BTCUSD_PERP,65513.9,66665.2,62307.0,63849.1,48888135,76087.905938,1018816
1710979200000,2024-03-21,BTCUSD_PERP,67869.2,68282.8,64564.7,65513.9,46959808,70534.56071819,1020915
1710892800000,2024-03-20,BTCUSD_PERP,61950.7,68156.8,60808.8,67872.0,75761499,118744.68012912,1498412
1710806400000,2024-03-19,BTCUSD_PERP,67639.7,68144.0,61544.7,61950.6,81871413,127380.198678,1667222
1710720000000,2024-03-18,BTCUSD_PERP,68404.0,68990.8,66573.7,67639.8,42322845,62547.30586939,986699
1710633600000,2024-03-17,BTCUSD_PERP,65318.0,68930.0,64576.4,68404.0,38327023,57413.59439757,918695
1710547200000,2024-03-16,BTCUSD_PERP,69566.6,70109.7,64754.2,65318.0,39801830,58846.20885848,951349
1710460800000,2024-03-15,BTCUSD_PERP,71418.9,72500.0,65600.3,69563.7,84420139,123491.50076747,1850316
1710374400000,2024-03-14,BTCUSD_PERP,73121.8,73915.3,68596.3,71418.8,72721674,101835.69224413,1377812
1710288000000,2024-03-13,BTCUSD_PERP,71528.0,73775.3,71412.5,73121.8,44340949,60922.94379666,883590
1710201600000,2024-03-12,BTCUSD_PERP,72196.0,73245.5,68709.1,71528.0,72582561,101719.82080734,1284502
1710115200000,2024-03-11,BTCUSD_PERP,69067.8,72930.0,67103.0,72196.1,71374114,100464.61013435,1328055
1710028800000,2024-03-10,BTCUSD_PERP,68516.2,70190.0,68275.6,69067.7,34479630,49671.50184204,724140
1709942400000,2024-03-09,BTCUSD_PERP,68301.5,68744.6,68059.1,68516.3,12875921,18815.96165944,386714
1709856000000,2024-03-08,BTCUSD_PERP,67001.0,70485.1,66151.6,68301.5,68411980,100421.27036309,1156346
1709769600000,2024-03-07,BTCUSD_PERP,66176.1,68138.1,65608.5,67001.0,38089058,56868.2216611,835813
1709683200000,2024-03-06,BTCUSD_PERP,63797.7,67734.9,62862.2,66176.1,73648796,111474.11367941,1480357
1709596800000,2024-03-05,BTCUSD_PERP,68363.2,69425.0,59237.2,63797.7,162443239,250172.69694101,2748533
1709510400000,2024-03-04,BTCUSD_PERP,63193.5,68663.1,62185.7,68363.2,75639088,115024.14208408,1518302
1709424000000,2024-03-03,BTCUSD_PERP,62106.0,63350.0,61425.6,63193.5,24528327,39318.6146771,645047
1709337600000,2024-03-02,BTCUSD_PERP,62466.9,62548.9,61688.0,62106.0,17729079,28551.09151083,606662
1709251200000,2024-03-01,BTCUSD_PERP,61246.1,63230.7,60888.0,62466.9,30754794,49626.82073317,770876
1709164800000,2024-02-29,BTCUSD_PERP,62544.8,63790.4,60480.0,61246.1,63577491,102226.94076892,1377772
1709078400000,2024-02-28,BTCUSD_PERP,57113.2,64397.6,56760.0,62544.7,95386249,157568.24501038,1907087
1708992000000,2024-02-27,BTCUSD_PERP,54561.2,57704.4,54540.0,57113.2,40984270,72401.06637348,1039744
1708905600000,2024-02-26,BTCUSD_PERP,51763.4,54998.8,50919.0,54561.2,34645491,65381.46868547,794027
1708819200000,2024-02-25,BTCUSD_PERP,51594.6,52022.0,51304.1,51763.4,10359059,20042.07766616,363465
1708732800000,2024-02-24,BTCUSD_PERP,50758.0,51751.9,50608.0,51594.5,8572083,16732.33705047,318084
1708646400000,2024-02-23,BTCUSD_PERP,51300.0,51542.0,50535.8,50757.9,18586917,36414.27655858,547828
1708560000000,2024-02-22,BTCUSD_PERP,51896.0,52100.7,50956.5,51300.0,22158061,42956.15493708,677654
1708473600000,2024-02-21,BTCUSD_PERP,52318.1,52424.0,50571.0,51896.0,32735283,63736.70163411,897479
1708387200000,2024-02-20,BTCUSD_PERP,51819.6,53095.5,50800.0,52318.1,33136948,63788.02448027,985019
1708300800000,2024-02-19,BTCUSD_PERP,52182.6,52558.1,51705.0,51819.5,17101169,32776.61368702,617699
1708214400000,2024-02-18,BTCUSD_PERP,51697.7,52469.0,51214.2,52182.0,12421467,23964.31301309,428081
1708128000000,2024-02-17,BTCUSD_PERP,52188.4,52236.8,50677.4,51697.7,16847277,32743.72650041,483135
1708041600000,2024-02-16,BTCUSD_PERP,51971.1,52664.0,51659.1,52188.3,19542026,37499.89915816,565845
1707955200000,2024-02-15,BTCUSD_PERP,51861.0,52860.0,51406.0,51971.1,32680349,62632.08101238,809784
1707868800000,2024-02-14,BTCUSD_PERP,49742.0,52134.9,49252.4,51861.0,31789648,62086.63868179,774543
1707782400000,2024-02-13,BTCUSD_PERP,49969.3,50450.9,48333.6,49741.9,29008611,58741.27859339,804672
1707696000000,2024-02-12,BTCUSD_PERP,48339.6,50451.6,47721.4,49969.3,30741790,62512.90476719,938586
1707609600000,2024-02-11,BTCUSD_PERP,47762.9,48624.7,47575.4,48339.6,15437081,32031.17586286,540798
1707523200000,2024-02-10,BTCUSD_PERP,47142.9,48184.1,46855.6,47762.9,10343496,21809.19126673,380541
1707436800000,2024-02-09,BTCUSD_PERP,45304.0,48233.2,45253.1,47142.9,32761711,69732.54295092,872376
1707350400000,2024-02-08,BTCUSD_PERP,44341.1,45636.1,44331.8,45304.0,19205726,42702.97616006,508722
1707264000000,2024-02-07,BTCUSD_PERP,43072.0,44392.7,42737.5,44341.0,14881971,34238.82192945,376766
1707177600000,2024-02-06,BTCUSD_PERP,42651.9,43358.5,42516.0,43072.0,10068795,23434.41791336,333458
1707091200000,2024-02-05,BTCUSD_PERP,42545.9,43552.6,42222.0,42651.9,12399810,28958.44064222,426605
1707004800000,2024-02-04,BTCUSD_PERP,42987.9,43091.9,42134.3,42546.0,6753723,15795.24595295,238021
1706918400000,2024-02-03,BTCUSD_PERP,43164.5,43346.0,42855.0,42987.9,4556187,10575.78508689,183637
1706832000000,2024-02-02,BTCUSD_PERP,43061.2,43454.3,42507.5,43164.6,11616035,27000.59310961,407292
1706745600000,2024-02-01,BTCUSD_PERP,42550.5,43271.3,41842.3,43061.1,17456292,41123.77845552,494935
1706572800000,2024-01-30,BTCUSD_PERP,43294.0,43883.8,42666.0,42940.2,16241632,37426.80141138,433300
1706486400000,2024-01-29,BTCUSD_PERP,42032.0,43380.0,41794.2,43294.1,14655551,34427.43041529,445560
1706400000000,2024-01-28,BTCUSD_PERP,42108.0,42840.0,41608.4,42032.0,13462081,31829.29625433,372048
